query,clicks,impressions,ctr,position
anker ヴェルカ,0,1,0,11
nba,0,1,0,1
ykkap アリーナ 八村,0,1,0,70
クリスのバスケ日記,0,1,0,10
クリスのバスケ日記 高校,0,1,0,46
トレンドンワトフォード,0,1,0,2
バス家 レイカーズ,0,1,0,17
ラッセル ウェスト ブルック,0,2,0,48.5
レイカーズ バス家,0,2,0,14.5
ヴェルカ アンカー,0,1,0,22
八村塁 黒部,0,1,0,32
八村塁富山イベント,0,1,0,72
