month,pageviews,users,new_users,sessions,avg_engagement_sec,engagement_rate,fetched_at
2026-08,0,0,0,0,0.0,0.0,2026-09-12 17:42
2026-09,0,0,0,0,0.0,0.0,2026-09-12 16:53
